Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECP2;HS047945;0.0244;13305;641;0;2418;141;16648;4204;0005829,792,5634,3682,10385,8327,3729,3700,35197,3714,8344,1662,32048,50432,21549,6342,16358,9790,8211,6541,16573,16571,6020,7616,60291,6122,35067,31061,43524,122,1976,42551,9405,46470,8284,51965,45893,9791,19230,8104,60079,6349,2087,7585,1666,19233,35176,1964,7416,6351,21591, 0008542;;;;;Xq28;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDKL5;HS052811;0.0226;809;347;0;192;78;16648;6792;0032839,44294,5634,5524,4693,4674,48365,1764,45773,50775,32855, 0046777;;;;;Xp22;X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1S1;HS039233;0.0224;1090;107;0;671;98;16648;84335;0005829,7173,38095,8543,45087,45792,6469,32007,48011,48015, 0043523;04150;;;;19q13.33;19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABRA1;HS044417;0.0215;1273;181;0;737;97;16648;2554;0030054,34707,5887,45211,5254,8144,5230,4890,7214,34220, 0051932;04080,4727,5032,4723, 05033;;;;5q34;5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP1A2;HS048396;0.0214;573;216;0;249;78;16648;477;0005901,5737,43197,5768,5890,45202,30315,5524,46872,5391,8344,6754,15991,71260,40011,45822,45988,1504,51481,8217,86004,2087,6940,6942,2026,19229,35094, 0008542;04971,4961,4976,4978,4964,4973,4970,4974,4911,4918,4972,4260,4261, 04960;;;;1q23.2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC12A5;HS051162;0.0203;2192;352;0;544;87;16648;57468;0043198,16021,43025,5886,15379,6873,7612,35264,6813,42493,7268, 0040040;04727;;;;20q13.12;20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRRT2;HS040421;0.0200;735;412;0;155;68;16648;112476;0030054,16021,5886,45202, 0009607;;;;;16p11.2;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC1A2;HS052459;0.0196;6312;362;0;1733;110;16648;6506;0030673,16021,5886,15501,5313,17153,30534,31668,70779,51938,35264,10259,46326,43200,42493,9611,7268,21537, 0007632;05014, 04724;;;;11p13-p12;11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC2A1;HS052483;0.0188;20109;690;0;5716;150;16648;6513;0016323,5901,5911,30864,1939,16021,42470,30496,5886,55056,33300,5355,43621,42910,42149,6112,19852,6461,50796, 0006970;04066,5166,4911,4976,4920,5200, 05211;;;;1p34.2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SV2A;HS056894;0.0184;1651;354;0;599;82;16648;9900;0005911,5783,16021,31594,43005,48786,30672,4872,22857,6874, 0006836;04512;;;;1q21.2;1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
