Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
ABCB1;HS049322;0.0310;98709;51;0;22711;5;245;5243;0016324, 0009986, 0000139, 0016021, 0046581, 0005524, 0042626, 0008559, 0006855, 0000086, 0072089;02010, 04976, 05206;;;;7q21.12;7
No mapping: HS042607;HS042607;0.0295;22;1;0;15;1;245;;;;;;;null;null
GLUL;HS045272;0.0288;25431;4;0;14293;4;245;2752;0043679, 0005829, 0005739, 0043204, 0043234, 0005791, 0005524, 0016595, 0004351, 0004356, 0000287, 0030145, 0008283, 0034641, 0006538, 0006542, 0001504, 0050679, 0032024, 0051968, 0051260, 0009749;00250, 00630, 00330, 01100, 00910, 04727, 01230, 04724;;;;1q31;1
F8;HS043204;0.0282;25576;10;0;6241;3;245;2157;0005576, 0005615, 0005886, 0031093, 0005507, 0016491, 0006953, 0007597, 0007155, 0030168, 0002576;04610;;;;Xq28;X
EPC2;HS044778;0.0278;37;1;0;23;1;245;26122;0032777, 0016568, 0006281, 0006355, 0006351;;;;;2q23.1;2
No mapping: HS050376;HS050376;0.0270;70;6;0;28;1;245;;;;;;;null;null
STK11;HS052813;0.0268;6371;6;0;1566;2;245;6794;0005737, 0005829, 0016020, 0005739, 0005634, 0043234, 0005524, 0000287, 0002039, 0030295, 0004674, 0032147, 0043276, 0006914, 0007409, 0060070, 0007050, 0006112, 0030010, 0042593, 0051645, 0008286, 0072332, 0030308, 0008285, 0060770, 0050772, 0045722, 0030511, 0046777, 0051291, 0042304, 0051896, 0030111, 0006974, 0033762, 0010212, 0033993, 0044281, 0007286, 0001894, 0001944;04920, 04151, 04150;;;;19p13.3;19
No mapping: HS046285;HS046285;0.0262;60;1;0;34;1;245;;;;;;;null;null
ALG8;HS053667;0.0260;77;6;0;36;1;245;79053;0005789, 0016021, 0000033, 0006488, 0043687, 0018279;01100, 00510;;;;11q14.1;11
APC;HS046322;0.0254;21227;4;0;7849;3;245;324;0005912, 0044295, 0030877, 0005813, 0005881, 0005829, 0000776, 0030027, 0016328, 0035371, 0005634, 0032587, 0005923, 0051010, 0019887, 0009952, 0009798, 0007409, 0060070, 0007155, 0007050, 0016477, 0006921, 0051276, 0031122, 0009953, 0001942, 0001822, 0007091, 0000281, 0007094, 0046716, 0043066, 0090090, 0008285, 0045736, 0060770, 0043409, 0007026, 0042483, 0043065, 0045785, 0051781, 0030335, 0030858, 0031116, 0045732, 0031274, 0006461, 0009954, 0051988, 0051171, 0045667, 0045670, 0006974, 0060041, 0035019, 0033077, 0048538, 0070830;04310, 05206, 05217, 04810, 04390, 05166, 05213, 05200, 05210;;;;5q21-q22;5
