Common Name;Internal Identifier;Relative Entropy;Reference Entity Count;Entity Count;Query Entity Count;Reference Doc Count;Doc Count;Query Doc Count;Entrez Gene Identifier;GO Identifier;KEGG Identifier;ATC Code;Protein Domain;Protein Family;Cytoband;Chromosome
TPMT;HS053113;0.0053;6229;1;0;999;1;454;7172;0005829, 0008119, 0006139, 0044281, 0006805;00983;;;;6p22.3;6
MMP11;HS048027;0.0053;3103;6;0;1008;1;454;4320;0005796, 0005578, 0005509, 0004222, 0008270, 0030574, 0022617, 0007275, 0006508;;;;;22q11.23;22
SLC6A4;HS052523;0.0052;28989;2;0;6871;2;454;6532;0005829, 0012505, 0010008, 0005887, 0045121, 0043005, 0051015, 0019811, 0005335, 0048854, 0071321, 0071300, 0007623, 0007613, 0021941, 0045665, 0046621, 0032227, 0045787, 0010628, 0051260, 0051259, 0042493, 0032355, 0001666, 0007584, 0009636, 0051610, 0035176, 0042713, 0021794, 0042310;04726;;;;17q11.2;17
SLC5A1;HS052495;0.0052;3502;2;0;1082;1;454;6523;0016324, 0031526, 0005911, 0005887, 0005412, 0005975, 0050892, 0044281;04976, 04973, 04978;;;;22q12.3;22
NLRP6;HS042661;0.0051;2667;1;0;1113;1;454;171389;0005737, 0031965, 0005886, 0005524, 0005000, 0050727;;;;;11p15;11
OPRL1;HS048576;0.0050;3136;2;0;1141;1;454;4987;0005887, 0004930, 0001626, 0007193, 0007204, 0038003, 0007600;04080;;;;20q13.33;20
CPB1;HS041485;0.0050;2989;1;0;1147;1;454;1360;0005576, 0004180, 0004181, 0008270, 0006508;04972, 04974;;;;3q24;3
HSP90AA1;HS046382;0.0050;4731;2;0;1150;1;454;3320;0016324, 0016323, 0031526, 0009986, 0005829, 0071682, 0031012, 0005576, 0042470, 0043005, 0043025, 0048471, 0005886, 0043234, 0005524, 0016887, 0002135, 0032564, 0005525, 0003729, 0030235, 0042803, 0030911, 0002134, 0007411, 0010659, 0051131, 0038096, 0000086, 0045087, 0001764, 0046209, 0060452, 0045793, 0010592, 0045429, 0033160, 0045040, 0042026, 0050999, 0043627, 0009408, 0009651, 0006986, 0003009;05215, 05200, 04151, 04612, 04915, 04621, 04141, 04914;;;;14q32.33;14
CYP11B2;HS042326;0.0049;3872;1;0;1193;1;454;1585;0005743, 0047783, 0020037, 0005506, 0004507, 0032342, 0032870, 0035865, 0034651, 0055075, 0002017, 0003091, 0055078, 0016125, 0006805;00140, 01100;;;;8q21-q22;8
CFD;HS042579;0.0049;2408;1;0;1232;1;454;1675;0005576, 0005615, 0031093, 0004252, 0006957, 0030168, 0002576, 0006508;05150, 04610;;;;19p13.3;19
